date,open,high,low,close,Volume BTC,Volume USD,market_cap,NVT,NVRV,NVHR,NVML,NVOL,implied price,fcas,fng_value,fng_class,news_value,news_class,google_trend_bitcoin
2020-12-15,19274.33,19567.84,19050.0,19434.87,6750.77219425,131200379.9948635,355962397828.0,66.39528889,2.48407194,129933875.82961448,0.7334446750900145,37.97806211412116,7834.531407445157,891.0,91.0,Extreme Greed,0.06743333333333333,Positive Sentiment,5.88
2020-12-14,19151.82,19346.9,18979.21,19274.33,3618.37690457,69741790.52306071,356456308656.0,77.019305286128,2.474236613553,134574370.80097473,0.9519842968428096,43.719206363297126,6976.346183869575,889.0,95.0,Extreme Greed,-0.159,Negative Sentiment,5.25
2020-12-13,18806.83,19416.64,18628.1,19162.36,4251.96121032,81477611.41818756,347438431897.0,71.97806576,2.46411643,148342069.0427936,0.8100972529669481,39.61454765084536,11139.44967276282,891.0,91.0,Extreme Greed,-0.05464,Negative Sentiment,4.62
2020-12-12,18031.23,18956.46,18022.55,18815.63,3515.32704607,66143093.02784608,336489186009.0,103.52870674,2.43833504,125704567.12464757,0.6643589798871842,35.086970136685245,6975.314210460428,892.0,90.0,Extreme Greed,-0.11198333333333332,Negative Sentiment,2.88
2020-12-11,18250.3,18290.43,17569.58,18040.02,6687.92267389,120650258.79542908,340864459750.0,79.56791898,2.34803699,131418411.08485878,0.6693751796510715,35.44031816510593,5192.316136021862,893.0,89.0,Extreme Greed,0.12040000000000001,Positive Sentiment,3.48
2020-12-10,18546.38,18562.13,17908.0,18250.3,6784.45549144,123818348.05542742,339047307619.0,71.53641282,2.38235433,123799952.47124383,0.6050526160158082,33.48573386868851,7545.490797026471,892.0,94.0,Extreme Greed,-0.008066666666666666,Neutral Sentiment,3.48
2020-12-09,18311.31,18654.92,17640.33,18556.64,8906.94524733,165282976.45441377,348100756128.0,66.23710076163,2.422360712922,132370718.71629885,0.640534551343124,34.95014377088891,5216.678544126158,890.0,86.0,Extreme Greed,0.29306000000000004,Positive Sentiment,3.6
2020-12-08,19183.13,19300.55,18163.52,18316.43,5979.96623279,109531632.90526174,353616480359.0,68.32004164,2.40341294,137132255.04506996,0.780108950280226,39.137636180770826,10462.369408993636,889.0,95.0,Extreme Greed,0.18076666666666666,Positive Sentiment,3.6
2020-12-07,19385.13,19431.0,18905.0,19173.5,4323.27044132,82892225.80664901,355539762900.0,80.25242756,2.51748691,142846099.0052812,1.0494316566835358,46.01597777674993,25457.796505347236,888.0,94.0,Extreme Greed,0.27309999999999995,Positive Sentiment,3.72
2020-12-06,19162.17,19418.39,18870.62,19380.58,2503.4542629,48518395.61847448,353081939991.0,146.19649691,2.54722977,129513796.43145503,0.8540419915024857,41.060123592155406,18552.425792152,888.0,95.0,Extreme Greed,-0.03423333333333333,Neutral Sentiment,3.6
2020-12-05,18650.08,19185.17,18500.0,19162.16,2376.72322359,45543150.68614736,350503573875.0,131.31649986,2.51909742,137132255.04506996,0.6577574383943986,35.56479557255824,6642.750515136525,887.0,93.0,Extreme Greed,0.1366,Positive Sentiment,5.44
2020-12-04,19439.94,19552.5,18573.89,18673.76,6261.69674357,116929422.18220772,362598414125.0,71.96726645,2.47230116,137132255.04506996,0.5996205878540286,34.3766155910528,6994.584007166451,886.0,92.0,Extreme Greed,0.0,Neutral Sentiment,6.29
2020-12-03,19220.09,19621.0,18881.62,19448.4,6196.52507218,120512498.21378551,354215595966.0,73.93637177,2.57495934,149512250.29219425,0.6181603760806089,34.56679563246287,6682.717010128174,885.0,92.0,Extreme Greed,0.20413333333333336,Positive Sentiment,6.800000000000002
2020-12-02,18773.21,19346.9,18334.0,19226.55,6749.36401948,129766984.78873318,350361243618.0,73.90078021,2.55197705,124752259.7979457,0.49467984395637604,30.51469706754881,3805.7539118504546,885.0,92.0,Extreme Greed,0.49218333333333325,Positive Sentiment,6.460000000000001
2020-12-01,19703.53,19918.01,18100.0,18771.43,11799.58943351,221495167.07987264,360028045688.0,48.47954169,2.51290662,144750713.6586849,0.9259514029111252,43.271561975940386,7713.584184347187,884.0,95.0,Extreme Greed,0.07955,Positive Sentiment,8.33
2020-11-30,18196.75,19864.15,18196.75,19700.19,10612.67092499,209071633.62977868,337810705156.0,59.09323104,2.63721867,107610727.91731204,0.973713118609864,43.16697253266518,17358.643512383478,885.0,88.0,Extreme Greed,0.09298000000000001,Positive Sentiment,14.62
2020-11-29,17724.41,18352.47,17534.87,18192.03,3736.1591794,67968319.87642018,329861397759.0,104.56649428,2.45853128,135787629.27682322,0.7948441168096577,38.28140006195428,15457.31387900569,886.0,89.0,Extreme Greed,-0.046060000000000004,Neutral Sentiment,9.35
2020-11-28,17160.38,17896.03,16875.01,17741.79,4471.52202455,79332804.73994096,315887402561.0,116.34447999,2.40313103,134710225.69469845,0.6106442401666846,32.56708314179053,5101.565884511607,889.0,87.0,Extreme Greed,-0.0978,Negative Sentiment,12.35
2020-11-27,17168.31,17471.89,16435.47,17154.39,8964.83242941,153786231.77874658,317691251659.0,56.3900633,2.31953985,134710225.69469845,0.5855010477227814,31.923978790171915,5178.709016052158,889.0,86.0,Extreme Greed,0.21610000000000001,Positive Sentiment,14.63
2020-11-26,18727.24,18911.04,16218.0,17160.09,21424.98655676,367654697.5627917,346388826525.0,54.278879013352,2.326869284941,131211259.21341324,0.5244504033810877,31.321037803852448,5069.156132974045,889.0,93.0,Extreme Greed,0.16784000000000002,Positive Sentiment,19.0
2020-11-25,19175.13,19490.0,18470.91,18732.43,8962.62225501,167891694.00841695,357518839188.0,65.666745231175,2.555478063978,135584967.55994713,0.6248508572835108,34.91693681024663,4700.013873761264,888.0,94.0,Extreme Greed,0.08444999999999998,Positive Sentiment,15.2
2020-11-24,18386.92,19442.13,18068.56,19160.85,13262.83116668,254127118.56008047,340842051825.0,60.64052978,2.61774563,118964874.63947392,0.7549227657216421,37.804447353003134,7896.899449727321,886.0,88.0,Extreme Greed,-0.036125,Neutral Sentiment,17.86
2020-11-23,18432.6,18786.31,18001.95,18383.35,9412.08722183,173025693.6294285,346038914456.0,76.70906967,2.52775968,128587033.61766668,1.0034555013397206,44.36181932408246,16075.118202328471,884.0,90.0,Extreme Greed,-0.012,Neutral Sentiment,12.35
